RBD,ASIG_TEL
9883,KPULGAR
9213,KNUÑEZ
11718,KPULGAR
25061,MMENDEZ
40399,JHOPPE
4675,jgonzalez
10783,KPULGAR
17875,jgonzalez
22334,FCACERES
1521,KNUÑEZ
1738,KNUÑEZ
3714,jgonzalez
9796,JHOPPE
14770,KNUÑEZ
223,JHOPPE
8174,FCACERES
9867,KPULGAR
10006,MMENDEZ
16564,JHOPPE
25185,MMENDEZ
45,KPULGAR
10119,MMENDEZ
1260,KNUÑEZ
10210,jgonzalez
10792,KPULGAR
1923,KNUÑEZ
18111,jgonzalez
5387,FCACERES
9363,KNUÑEZ
20213,FCACERES
17737,jgonzalez
289,JHOPPE
10114,MMENDEZ
239,JHOPPE
1716,KNUÑEZ
9125,vjimenez
9950,KPULGAR
11430,KPULGAR
25431,vjimenez
8412,MMENDEZ
10835,vjimenez
4259,KPULGAR
8841,KNUÑEZ
25783,jgonzalez
1549,KNUÑEZ
5015,jgonzalez
9558,vjimenez
20052,FCACERES
8003,FCACERES
9878,KPULGAR
25303,jgonzalez
296,JHOPPE
10086,vjimenez
10791,KPULGAR
11993,MMENDEZ
3460,JHOPPE
7401,FCACERES
8615,MMENDEZ
10505,MMENDEZ
16695,JHOPPE
18087,jgonzalez
40371,KNUÑEZ
433,KPULGAR
294,JHOPPE
1887,KNUÑEZ
9013,MMENDEZ
9328,KNUÑEZ
14490,KNUÑEZ
31253,jgonzalez
114,JHOPPE
2140,KNUÑEZ
9892,KPULGAR
10152,MMENDEZ
26083,jgonzalez
255,JHOPPE
1684,KNUÑEZ
2991,JHOPPE
5720,FCACERES
22010,FCACERES
10089,MMENDEZ
10571,vjimenez
4922,jgonzalez
10646,jgonzalez
12810,JHOPPE
2326,KNUÑEZ
10586,vjimenez
9519,jgonzalez
22629,KPULGAR
9121,KNUÑEZ
232,JHOPPE
8047,FCACERES
22554,FCACERES
14328,KNUÑEZ
9995,MMENDEZ
10087,vjimenez
9347,KNUÑEZ
16459,JHOPPE
522,vjimenez
8162,FCACERES
4266,KPULGAR
9536,jgonzalez
9779,JHOPPE
3013,JHOPPE
5668,FCACERES
16526,JHOPPE
24767,MMENDEZ
429,KPULGAR
10963,JHOPPE
11831,MMENDEZ
11746,KPULGAR
25544,KPULGAR
12871,JHOPPE
10479,MMENDEZ
12715,JHOPPE
16443,JHOPPE
534,vjimenez
2386,KNUÑEZ
24214,MMENDEZ
9307,KNUÑEZ
11997,JHOPPE
16608,JHOPPE
25853,jgonzalez
60,KPULGAR
10424,MMENDEZ
9332,KNUÑEZ
22262,FCACERES
22339,KPULGAR
1582,KNUÑEZ
31432,KNUÑEZ
7183,KPULGAR
26387,jgonzalez
10564,vjimenez
12538,JHOPPE
3203,JHOPPE
25561,vjimenez
26025,vjimenez
1889,KNUÑEZ
2110,KNUÑEZ
10117,vjimenez
1961,KNUÑEZ
8835,MMENDEZ
12945,JHOPPE
16704,JHOPPE
24424,MMENDEZ
9864,KPULGAR
2997,JHOPPE
9665,KPULGAR
11716,KPULGAR
16730,JHOPPE
25188,JHOPPE
1119,FCACERES
285,JHOPPE
2278,KNUÑEZ
11224,FCACERES
24423,jgonzalez
14778,KNUÑEZ
17733,jgonzalez
19974,FCACERES
12031,jgonzalez
24302,MMENDEZ
5698,FCACERES
9385,KNUÑEZ
9472,jgonzalez
10482,MMENDEZ
4660,jgonzalez
10411,vjimenez
10333,jgonzalez
15601,KNUÑEZ
16634,JHOPPE
22358,FCACERES
22489,FCACERES
50,KPULGAR
1743,KNUÑEZ
10459,MMENDEZ
13542,vjimenez
9414,jgonzalez
10273,vjimenez
2155,KNUÑEZ
2863,JHOPPE
4269,KPULGAR
22007,FCACERES
310,JHOPPE
9284,KNUÑEZ
9298,KNUÑEZ
10074,vjimenez
10399,vjimenez
4818,jgonzalez
24230,MMENDEZ
2043,KNUÑEZ
284,JHOPPE
9863,KPULGAR
3291,JHOPPE
9824,vjimenez
10344,vjimenez
12504,JHOPPE
10093,vjimenez
8458,MMENDEZ
9639,jgonzalez
10744,JHOPPE
14232,KNUÑEZ
8004,FCACERES
10001,MMENDEZ
9165,KNUÑEZ
9341,KNUÑEZ
24854,MMENDEZ
2135,KNUÑEZ
31345,JHOPPE
4275,KPULGAR
14397,KNUÑEZ
1502,KNUÑEZ
2339,KNUÑEZ
8415,MMENDEZ
10080,MMENDEZ
10264,vjimenez
10560,vjimenez
10852,JHOPPE
11608,MMENDEZ
22009,FCACERES
8714,jgonzalez
2217,KNUÑEZ
5342,FCACERES
6071,FCACERES
11906,jgonzalez
12217,JHOPPE
10104,MMENDEZ
10108,vjimenez
10281,vjimenez
7970,FCACERES
9664,KPULGAR
11397,jgonzalez
10464,MMENDEZ
326,JHOPPE
10130,MMENDEZ
9502,jgonzalez
12083,KPULGAR
14387,KNUÑEZ
16569,JHOPPE
24498,jgonzalez
322,JHOPPE
7059,KPULGAR
8442,MMENDEZ
3730,jgonzalez
5719,FCACERES
10901,JHOPPE
11994,vjimenez
12033,jgonzalez
565,vjimenez
1529,KNUÑEZ
9006,MMENDEZ
10421,MMENDEZ
10172,vjimenez
12604,JHOPPE
13551,vjimenez
25845,KPULGAR
650,vjimenez
523,vjimenez
8236,FCACERES
10649,jgonzalez
3430,JHOPPE
4974,jgonzalez
9757,JHOPPE
14865,KNUÑEZ
26362,vjimenez
9078,JHOPPE
9089,JHOPPE
9288,KNUÑEZ
9293,KNUÑEZ
10124,MMENDEZ
5701,FCACERES
10046,MMENDEZ
12111,vjimenez
13539,vjimenez
9457,jgonzalez
10592,vjimenez
4629,jgonzalez
4659,jgonzalez
7044,KPULGAR
14289,FCACERES
9859,JHOPPE
2119,KNUÑEZ
10640,jgonzalez
15732,KNUÑEZ
17725,jgonzalez
648,vjimenez
304,JHOPPE
8652,MMENDEZ
4443,KPULGAR
2041,KNUÑEZ
10283,vjimenez
4865,jgonzalez
5652,FCACERES
5713,FCACERES
9663,jgonzalez
9911,KPULGAR
14212,FCACERES
14641,KNUÑEZ
14856,FCACERES
16589,JHOPPE
22195,FCACERES
25162,MMENDEZ
2160,KNUÑEZ
9342,KNUÑEZ
566,vjimenez
7004,KPULGAR
7434,FCACERES
20180,FCACERES
1361,FCACERES
3202,JHOPPE
4822,jgonzalez
9140,KNUÑEZ
10143,vjimenez
11979,KPULGAR
16488,JHOPPE
22566,FCACERES
25071,MMENDEZ
11830,KPULGAR
12244,MMENDEZ
17648,jgonzalez
20042,FCACERES
4786,jgonzalez
14416,FCACERES
16690,JHOPPE
2656,KNUÑEZ
4530,KPULGAR
9544,vjimenez
25331,KPULGAR
6691,FCACERES
12002,KPULGAR
15750,KNUÑEZ
22275,KPULGAR
24426,KNUÑEZ
30003,KPULGAR
8703,JHOPPE
26044,KPULGAR
9930,vjimenez
14825,KNUÑEZ
10632,vjimenez
12761,JHOPPE
17902,jgonzalez
12037,KPULGAR
12242,MMENDEZ
15593,KNUÑEZ
1594,KNUÑEZ
12192,FCACERES
17703,jgonzalez
14552,KNUÑEZ
9209,JHOPPE
10313,jgonzalez
11793,KNUÑEZ
14237,KNUÑEZ
14372,KNUÑEZ
20265,FCACERES
17817,KPULGAR
25062,MMENDEZ
2083,KNUÑEZ
6119,FCACERES
6420,FCACERES
6925,KPULGAR
10147,MMENDEZ
10484,MMENDEZ
17638,KPULGAR
24231,MMENDEZ
25557,vjimenez
26254,JHOPPE
7704,FCACERES
9805,vjimenez
25132,MMENDEZ
335,JHOPPE
5746,FCACERES
9638,vjimenez
19968,FCACERES
22146,FCACERES
22313,KPULGAR
24930,KNUÑEZ
8659,MMENDEZ
10337,MMENDEZ
11705,jgonzalez
11805,KPULGAR
1601,KNUÑEZ
9333,KNUÑEZ
10156,MMENDEZ
15755,KNUÑEZ
22140,KPULGAR
959,vjimenez
1349,FCACERES
9653,vjimenez
10606,vjimenez
11909,jgonzalez
133,JHOPPE
5009,jgonzalez
7412,FCACERES
11914,JHOPPE
26411,KNUÑEZ
3726,jgonzalez
6200,FCACERES
12634,JHOPPE
22610,FCACERES
24759,JHOPPE
6135,FCACERES
9020,MMENDEZ
16485,JHOPPE
8666,MMENDEZ
9069,vjimenez
11420,jgonzalez
22019,FCACERES
22496,KPULGAR
25166,MMENDEZ
