AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;FONO_RBD;CELULAR_RBD;DIR_RBD;LATITUD;LONGITUD;CONVENIO_PIE;ENS_01;ENS_02;ENS_03;ENS_04;ENS_05;ENS_06;ENS_07;ENS_08;ENS_09;MATRICULA;ESTADO_ESTAB;ORI_RELIGIOSA;ORI_OTRO_GLOSA;PAGO_MATRICULA;PAGO_MENSUAL
2015;40303;2;ESCUELA ESPECIAL DE LENGUAJE CHOCOLATITO;4;43;4304;PUNITAQUI;42;LIMARI;3;2;1;731875;78036280;CALLE AMBROSIO OHIGGINS 524 POBLACIÓN BERNARDO OHGGINS;-30,835958;-71,25581;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;25376;6;ESCUELA ESPECIAL NUEVA CORDILLERA N_ 1762;13;131;13114;LAS CONDES;133;SANTIAGO ORIENTE;3;2;0;2243614; ;GERONIMO DE ALDERETE;-33,397545;-70,55978;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;31492;7;ESC. ESP. Nº2411 TESORITOS;13;131;13119;MAIPU;134;SANTIAGO PONIENTE;3;2;0;8845823; ;LA GALAXIA;-33,527683;-70,79431;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;31457;9;JARDIN INFANTIL TIA KITTY;5;58;5801;QUILPUE;53;VALPARAISO;3;2;0;2828291;82843739;LAS PALMAS, LOS PINOS;-33,067916;-71,42300;0;10;0;0;0;0;0;0;0;0;1;1;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;13629;8;JARDIN INFANTIL MELODIA;4;41;4102;COQUIMBO;41;ELQUI;3;2;0;2242260; ;SANTIAGO;-29,959680;-71,25720;0;10;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;31218;5;ESCUELA CULTURAL DE LENGUAJE ALBORADA;4;41;4102;COQUIMBO;41;ELQUI;3;2;0;2576916;74895566;LAS DALIAS;-29,984426;-71,34383;0;214;0;0;0;0;0;0;0;0;1;1;9; ;GRATUITO;GRATUITO
2015;13567;4;ESC.ESP.DE TRAS.ESPEC. DEL LENGUAJE RINCON DE;4;41;4102;COQUIMBO;41;ELQUI;3;2;0;2603362;61719034;HENRIQUEZ 1613, PARTE ALTA;-29,956610;-71,34820;0;214;0;0;0;0;0;0;0;0;1;1;1; ;GRATUITO;GRATUITO
2015;20326;2;COLEGIO DE ADULTOS SU SANTIDAD JUAN PABLO II;4;41;4102;COQUIMBO;41;ELQUI;3;2;0;2620860;63105536;ARAUCO TIERRAS BLANCAS;0;0;0;363;0;0;0;0;0;0;0;0;1;1;9; ;SIN INFORMACIÓN;SIN INFORMACIÓN
2015;962;8;ESCUELA ALGARROBO DE HORNILLOS;4;43;4301;OVALLE;42;LIMARI;2;1;1;9352929;89352329;CAMINO PUBLICO S/N ALGARROBO DE HORNILLOS;-31,131596;-71,51301;0;110;0;0;0;0;0;0;0;0;1;1;2; ;GRATUITO;GRATUITO
2015;13396;5;CENTRO EST.Y DES.INTEGRAL DEL NINO;4;41;4102;COQUIMBO;41;ELQUI;3;2;0;564657; ;AVENIDA ALESSANDRI;-29,972221;-71,33609;1;110;212;214;0;0;0;0;0;0;1;1;1; ;GRATUITO;$25.001 A $50.000
