AGNO;RBD;DGV_RBD;NOM_RBD;COD_REG_RBD;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;CONVENIO_SEP;AÑO_INGRESO_SEP;CLASIFICACION_SEP;N_PRIO;N_BEN
2015;5474;7;ESC. BASICA RALUN;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;6;6
2015;5477;1;ESC. BASICA LOS COPIHUES;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;5;5
2015;5479;8;ESC. BASICA CHANCO;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;29;29
2015;5480;1;ESCUELA RUCATRARO ALTO;9;91;9106;GALVARINO;92;CAUTIN NORTE;2;1;1;1;2008;EMERGENTE;11;11
2015;5482;8;ESC. BASICA RUCAYECO;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;13;13
2015;5485;2;ESC. BASICA BUTA RINCON;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;23;23
2015;5487;9;ESC. BASICA MANZANAR;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;28;28
2015;5490;9;ESC. BASICA COMUDE;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;2;2
2015;5492;5;ESC. BASICA REDUCCION CALBUDIR;9;92;9207;LUMACO;91;MALLECO;2;1;1;1;2008;EMERGENTE;10;10
2015;5493;3;ESCUELA PARTICULAR LAS COLINAS;9;92;9207;LUMACO;91;MALLECO;3;2;1;1;2008;EMERGENTE;55;55
2015;5494;1;ESCUELA PARTICULAR PICHI-LONCOYAN;9;92;9208;PUREN;91;MALLECO;3;2;1;1;2008;EMERGENTE;23;23
2015;5496;8;ESCUELA PARTICULAR QUILLUCO;9;92;9207;LUMACO;91;MALLECO;3;2;1;1;2009;EMERGENTE;6;6
2015;5499;2;ESCUELA PARTICULAR GABRIELA MISTRAL;9;92;9210;TRAIGUEN;91;MALLECO;3;2;0;1;2010;EMERGENTE;121;57
2015;5503;4;ESCUELA PARTICULAR EL EDEN;9;92;9208;PUREN;91;MALLECO;3;2;1;1;2008;EMERGENTE;30;30
2015;5504;2;ESCUELA PARTICULAR CALBUCO;9;92;9207;LUMACO;91;MALLECO;3;2;1;1;2008;EMERGENTE;26;26
2015;5506;9;ESCUELA GENERAL LAGOS;9;92;9207;LUMACO;91;MALLECO;3;2;1;1;2008;EMERGENTE;7;6
2015;5507;7;LICEO MARIA AURORA GUINEZ RAMIREZ;9;92;9208;PUREN;91;MALLECO;2;1;0;1;2013;EMERGENTE;307;210
2015;5508;5;ESCUELA PEDRO DE ONA;9;92;9208;PUREN;91;MALLECO;2;1;0;1;2008;AUTONOMO;483;483
2015;5509;3;LICEO BICENTENARIO INDÓMITO DE PURÉN;9;92;9208;PUREN;91;MALLECO;2;1;0;1;2008;AUTONOMO;231;193
2015;5510;7;ESCUELA ENZO FERRARI;9;92;9208;PUREN;91;MALLECO;2;1;0;1;2008;AUTONOMO;359;359
2015;5511;5;ESC. BASICA AGUA SANTA;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;6;6
2015;5512;3;ESC.BASICA PINGUIDAHUE;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;4;4
2015;5513;1;ESC. BASICA TRANAMAN;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;31;31
2015;5515;8;ESC. BASICA EL VALLE;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;2;2
2015;5516;6;ESC. BASICA COYANCAHUIN;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;5;5
2015;5518;2;ESC. BASICA CONUNHUENU;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;2;2
2015;5520;4;ESC. BASICA IPINCO ALTO;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;4;4
2015;5521;2;ESC. BASICA QUILACO;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;26;26
2015;5522;0;ESC. BASICA HUITRANLEBU;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;22;22
2015;5523;9;ESCUELA PELLAHUENCO;9;92;9208;PUREN;91;MALLECO;2;1;1;1;2008;EMERGENTE;11;11
